Column Finder,Field Name,Field Description,,
A,LEA_STATE,State Abbreviation,,
B,LEA_STATE_NAME,State Name,,
C,LEAID,7 Digit LEAID District Identification Code,,
D,LEA_NAME,District Name,,
E,LEA_ADDRESS,District Address,,
F,LEA_CITY,District City,,
G,LEA_ZIP,District Zip code,,
H,CJJ,"Juvenile Justice Facility (LEA): ""Yes"" indicates LEA contains at least one JJ facility; ""No"" indicates LEA does not contain any JJ facilities",,
I,LEA_ENR,Count of Students,,
J,LEA_ENR_NONLEAFAC,Students served in Non-LEA facilities,,
K,LEA_SCHOOLS,Count of Public Schools in the LEA,,
L,LEA_CRCOORD_SEX_IND,Civil Rights Coordinators Indicator: Sex (Title IX),,
M,LEA_CRCOORD_RAC_IND,"Civil Rights Coordinators Indicator: Race, color, or national origin (Title VI)",,
N,LEA_CRCOORD_DIS_IND,Civil Rights Coordinators Indicator: Disability (Section 504 and/or Title II),,
O,LEA_CRCOORD_SEX_FN,Civil Rights Coordinators Contact Information: Sex (Title IX) - First Name,,
P,LEA_CRCOORD_SEX_LN,Civil Rights Coordinators Contact Information: Sex (Title IX) - Last Name,,
Q,LEA_CRCOORD_SEX_PH,Civil Rights Coordinators Contact Information: Sex (Title IX) - Phone,,
R,LEA_CRCOORD_SEX_EM,Civil Rights Coordinators Contact Information: Sex (Title IX) - Email,,
S,LEA_CRCOORD_RAC_FN,"Civil Rights Coordinators Contact Information: Race, color, or national origin (Title VI) - First Name",,
T,LEA_CRCOORD_RAC_LN,"Civil Rights Coordinators Contact Information: Race, color, or national origin (Title VI) - Last Name",,
U,LEA_CRCOORD_RAC_PH,"Civil Rights Coordinators Contact Information: Race, color, or national origin (Title VI) - Phone",,
V,LEA_CRCOORD_RAC_EM,"Civil Rights Coordinators Contact Information: Race, color, or national origin (Title VI) - Email",,
W,LEA_CRCOORD_DIS_FN,Civil Rights Coordinators Contact Information: Disability (Section 504 and/or Title II) - First Name,,
X,LEA_CRCOORD_DIS_LN,Civil Rights Coordinators Contact Information: Disability (Section 504 and/or Title II) - Last Name,,
Y,LEA_CRCOORD_DIS_PH,Civil Rights Coordinators Contact Information: Disability (Section 504 and/or Title II)- Phone,,
Z,LEA_CRCOORD_DIS_EM,Civil Rights Coordinators Contact Information: Disability (Section 504 and/or Title II) - Email,,
AA,LEA_DESEGPLAN,Desegregation Order or Plan (LEA): Is the LEA covered by a desegregation order or plan?,,
AB,LEA_HBPOLICY_IND,Harassment or Bullying Policy Indicator (LEA),,
AC,LEA_HBPOLICYURL_IND,Harassment or Bullying Policy Web Link Indicator (LEA),,
AD,LEA_HBPOLICY_URL,Harassment or Bullying Policy Web Link (LEA): Web Link,,
AE,LEA_ECE_IND,Early Childhood Program Indicator (LEA): Does the LEA provide early childhood services to children birth through age 2?,,
AF,LEA_ECE_NONIDEA,Non-IDEA Early Childhood Program Indicator (LEA),,
AG,LEA_PS_IND,Preschool Program Provided by the LEA Indicator (LEA): Does the LEA provide preschool services or programs that serve children ages 3 through 5?,,
AH,LEA_PS_FULLDAYFREE,Preschool Daily Length and Cost (LEA): Full-day preschool (free; no charge to parent(s)/guardian),,
AI,LEA_PS_FULLDAYCOST,Preschool Daily Length and Cost (LEA): Full-day preschool (partial or full charge to parent(s)/guardian),,
AJ,LEA_PS_PARTDAYFREE,Preschool Daily Length and Cost (LEA): Part-day preschool (free; no charge to parent(s)/guardian),,
AK,LEA_PS_PARTDAYCOST,Preschool Daily Length and Cost (LEA): Part-day preschool (partial or full charge to parent(s)/guardian),,
AL,LEA_PSENR_NONIDEA_A3,Preschool Age for Non-IDEA Children (LEA): Children age 3 years,,
AM,LEA_PSENR_NONIDEA_A4,Preschool Age for Non-IDEA Children (LEA): Children age 4 years,,
AN,LEA_PSENR_NONIDEA_A5,Preschool Age for Non-IDEA Children (LEA): Children age 5 years,,
AO,LEA_PSENR_A2,Preschool Age of Children Served (LEA): Number of children 2 years,,
AP,LEA_PSENR_A3,Preschool Age of Children Served (LEA): Number of children 3 years,,
AQ,LEA_PSENR_A4,Preschool Age of Children Served (LEA): Number of children 4 years,,
AR,LEA_PSENR_A5,Preschool Age of Children Served (LEA): Number of children 5 years,,
AS,LEA_PSELIG_ALL,Preschool Eligibility - All Children (LEA): Does the LEA offer its preschool service(s) or program(s) to all children?,,
AT,LEA_PSELIG_IDEA,Preschool Eligibility - Student Groups (LEA): Children with disabilities (IDEA),,
AU,LEA_PSELIG_TITLEI,Preschool Eligibility - Student Groups (LEA): Children in Title I schools,,
AV,LEA_PSELIG_LOWINC,Preschool Eligibility - Student Groups (LEA): Children from low income families,,
AW,LEA_KG_IND,Kindergarten Program Indicator (LEA): Does the LEA provide one or more kindergarten programs that serve any students?,,
AX,LEA_KG_FULLDAYFREE,Kindergarten Daily Length and Cost (LEA): Full-day kindergarten (free; no charge to parent(s)/guardian),,
AY,LEA_KG_FULLDAYCOST,Kindergarten Daily Length and Cost (LEA): Full-day kindergarten (partial or full charge to parent(s)/guardian),,
AZ,LEA_KG_PARTDAYFREE,Kindergarten Daily Length and Cost (LEA): Part-day kindergarten (free; no charge to parent(s)/guardian),,
BA,LEA_KG_PARTDAYCOST,Kindergarten Daily Length and Cost (LEA): Part-day kindergarten (partial or full charge to parent(s)/guardian),,
,,,,
,,,,
,  ,,,

Column Finder,Field Name,Field Description,,
A,LEA_STATE,State Abbreviation,,
B,LEA_STATE_NAME,State Name,,
C,LEAID,7 Digit LEAID District Identification Code,,
D,LEA_NAME,District Name,,
E,LEA_ADDRESS,District Address,,
F,LEA_CITY,District City,,
G,LEA_ZIP,District Zip code,,
